Time(s),Strain(%),Stress(MPa),Temp(C),Log_SR(s-1)
0.0,0.0,0.0,105.21849682456647,-0.8756267250221903
1.2015634458259807e-05,1.6e-06,0.308384125,105.21849682456647,-0.8756267250221903
0.0001381797962699878,1.84e-05,3.5464174375,105.21849682456647,-0.8756267250221903
0.00014418761349911768,1.92e-05,3.7006094999999997,105.21849682456647,-0.8756267250221903
0.00022829705470693635,3.04e-05,5.859298375,105.21849682456647,-0.8756267250221903
0.00025833614085258585,3.4399999999999996e-05,6.6302586875,105.21849682456647,-0.8756267250221903
0.00031240649591475494,4.1599999999999995e-05,8.01798725,105.21849682456647,-0.8756267250221903
0.0003424455820604045,4.56e-05,8.788947562499999,105.21849682456647,-0.8756267250221903
0.0003484533992895344,4.6399999999999996e-05,8.943139624999999,105.21849682456647,-0.8756267250221903
0.00042054720603909324,5.6e-05,10.793444375,105.21849682456647,-0.8756267250221903
0.0004565941094138727,6.08e-05,11.71859675,105.21849682456647,-0.8756267250221903
0.000564734819538211,7.52e-05,14.494053875,105.21849682456647,-0.8756267250221903
0.0006007817229129903,7.999999999999999e-05,15.419206249999998,105.21849682456647,-0.8756267250221903
0.0006368286262877698,8.48e-05,16.344358625,105.21849682456647,-0.8756267250221903
0.0006428364435168997,8.56e-05,16.4985506875,105.21849682456647,-0.8756267250221903
0.0006728755296625493,8.96e-05,17.269510999999998,105.21849682456647,-0.8756267250221903
0.0006969067985790688,9.279999999999999e-05,17.886279249999998,105.21849682456647,-0.8756267250221903
0.0007209380674955885,9.6e-05,18.5030475,105.21849682456647,-0.8756267250221903
0.0007269458847247183,9.68e-05,18.6572395625,105.21849682456647,-0.8756267250221903
0.0007810162397868874,0.000104,20.044968125,105.21849682456647,-0.8756267250221903
0.000811055325932537,0.000108,20.8159284375,105.21849682456647,-0.8756267250221903
0.0008350865948490566,0.00011119999999999999,21.4326966875,105.21849682456647,-0.8756267250221903
0.0008651256809947062,0.0001152,22.203657,105.21849682456647,-0.8756267250221903
0.0009131882188277454,0.0001216,23.4371935,105.21849682456647,-0.8756267250221903
0.0009492351222025247,0.00012639999999999998,24.362345874999995,105.21849682456647,-0.8756267250221903
0.0010093132944938238,0.0001344,25.9042665,105.21849682456647,-0.8756267250221903
0.0011655165424512015,0.0001552,29.913260125,105.21849682456647,-0.8756267250221903
0.0012616416181172798,0.000168,32.380333125,105.21849682456647,-0.8756267250221903
0.0012676494353464096,0.00016879999999999998,32.534525187499995,105.21849682456647,-0.8756267250221903
0.0013757901454707479,0.00018319999999999998,35.3099823125,105.21849682456647,-0.8756267250221903
0.0013878057799290076,0.0001848,35.6183664375,105.21849682456647,-0.8756267250221903
0.0015259855761989955,0.00020319999999999998,39.164783875,105.21849682456647,-0.8756267250221903
0.0015680402968029047,0.00020879999999999998,40.244128312499996,105.21849682456647,-0.8756267250221903
0.0016401341035524638,0.0002184,42.0944330625,105.21849682456647,-0.8756267250221903
0.001676181006927243,0.00022319999999999998,43.0195854375,105.21849682456647,-0.8756267250221903
0.0017362591792185421,0.00023119999999999998,44.561506062499994,105.21849682456647,-0.8756267250221903
0.001802345168738971,0.00023999999999999998,46.25761875,105.21849682456647,-0.8756267250221903
0.0018263764376554908,0.0002432,46.874387,105.21849682456647,-0.8756267250221903
0.0018323842548846206,0.000244,47.0285790625,105.21849682456647,-0.8756267250221903
0.0018984702444050493,0.00025279999999999996,48.72469174999999,105.21849682456647,-0.8756267250221903
0.001994595320071128,0.0002656,51.191764750000004,105.21849682456647,-0.8756267250221903
0.0020606813095915572,0.0002744,52.8878774375,105.21849682456647,-0.8756267250221903
0.0021568063852576355,0.0002872,55.354950437499994,105.21849682456647,-0.8756267250221903
0.002264947095381974,0.0003016,58.130407562500004,105.21849682456647,-0.8756267250221903
0.002300993998756753,0.00030639999999999997,59.05555993749999,105.21849682456647,-0.8756267250221903
0.0024031268916519613,0.00031999999999999997,61.676824999999994,105.21849682456647,-0.8756267250221903
0.0025052597845471695,0.0003336,64.2980900625,105.21849682456647,-0.8756267250221903
0.0025833614085258583,0.00034399999999999996,66.30258687499999,105.21849682456647,-0.8756267250221903
0.0028176662804619244,0.00037519999999999996,72.31607731249998,105.21849682456647,-0.8756267250221903
0.002919799173357133,0.00038879999999999996,74.937342375,105.21849682456647,-0.8756267250221903
0.0029438304422736527,0.000392,75.55411062499999,105.21849682456647,-0.8756267250221903
0.0029798773456484323,0.0003968,76.479263,105.21849682456647,-0.8756267250221903
0.003009916431794082,0.0004008,77.2502233125,105.21849682456647,-0.8756267250221903
0.003015924249023212,0.0004016,77.404415375,105.21849682456647,-0.8756267250221903
0.003039955517939731,0.0004048,78.02118362499999,105.21849682456647,-0.8756267250221903
0.0031541040452931993,0.00041999999999999996,80.9508328125,105.21849682456647,-0.8756267250221903
0.0031661196797514593,0.0004216,81.2592169375,105.21849682456647,-0.8756267250221903
0.003358369831083616,0.0004472,86.1933629375,105.21849682456647,-0.8756267250221903
0.0034004245516875255,0.0004528,87.272707375,105.21849682456647,-0.8756267250221903
0.0035506199824157734,0.0004728,91.1275089375,105.21849682456647,-0.8756267250221903
0.003562635616874033,0.0004744,91.4358930625,105.21849682456647,-0.8756267250221903
0.0036407372408527217,0.00048479999999999997,93.440389875,105.21849682456647,-0.8756267250221903
0.0036467450580818517,0.0004856,93.5945819375,105.21849682456647,-0.8756267250221903
0.003676784144227501,0.0004896,94.36554224999999,105.21849682456647,-0.8756267250221903
0.003682791961456631,0.0004904,94.51973431249999,105.21849682456647,-0.8756267250221903
