Time,Strain(%),Stress(MPa),Temp(C),SR(%/s),Si(%),Fe(%),Cu(%),Mn(%),Mg(%),Cr(%),Zn(%),Ti(%)
0.0,0.0001050058471442,29.276734993435003,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.13785309574770002,0.00011649360512317501,29.668999830954444,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.27570619149540004,0.00012798136310215,30.06126466847386,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.4135592872431001,0.000139469121081125,30.4535295059933,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.5514123829908001,0.0001509568790601,30.845794343512736,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.6892654787385002,0.000162444637039075,31.238059181032177,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.8271185744862002,0.00017393239501805,31.630324018551597,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
0.9649716702339002,0.00018542015299702499,32.02258885607103,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.1028247659816002,0.000196907910976,32.41485369359049,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.24693483429995,0.0002089170833358625,32.801405360549055,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.3910449026183,0.000220926255695725,33.18795702750766,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.53515497093665,0.00023293542805558748,33.57450869446622,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.6792650392550001,0.00024494460041545,33.96106036142474,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.8233751075733502,0.00025695377277531247,34.3476120283833,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
1.9674851758917002,0.00026896294513517496,34.734163695341856,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.1115952442100503,0.00028097211749503746,35.120715362300416,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.2557053125284003,0.0002929812898549,35.50726702925899,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.4040121815686004,0.00030534019560825,35.87582584387026,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.5523190506088005,0.0003176991013616,36.24438465848147,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.700625919649,0.00033005800711495,36.61294347309274,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.8489327886892,0.0003424169128683,36.98150228770407,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
2.9972396577294003,0.00035477581862165,37.35006110231532,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.1455465267696,0.000367134724375,37.718619916926585,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.2938533958098,0.00037949363012835,38.08717873153782,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.44216026485,0.0003918525358817,38.45573754614912,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.5743156350111,0.000402865483395125,38.817697866752795,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.7064710051722,0.00041387843090855,39.17965818735638,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.8386263753333,0.000424891378421975,39.54161850796007,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
3.9707817454944,0.0004359043259354,39.903578828563774,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
4.1029371156555,0.000446917273448825,40.26553914916746,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
4.2350924858166,0.00045793022096225,40.62749946977112,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
4.3672478559777,0.000468943168475675,40.98945979037481,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
4.4994032261388,0.0004799561159891,41.35142011097849,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
4.63813566442845,0.0004915171525132375,41.696683125836664,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
4.776868102718101,0.0005030781890373751,42.04194614069491,300.0,8.333333333333333e-05,0.61,0.15,0.17,0.02,0.88,0.05,0.01,0.01
