Time(s),Strain(%),Stress(MPa),Temp(C),SR(%/s)
0.0,3.252e-05,0.28206496898362987,1200.0,1.0
2.6774999999999994e-06,3.51975e-05,0.47928511948371727,1200.0,1.0
5.354999999999999e-06,3.7875e-05,0.5719808915143113,1200.0,1.0
8.032499999999998e-06,4.0552499999999995e-05,0.5815304497824363,1200.0,1.0
1.0709999999999997e-05,4.323e-05,0.5293119589951166,1200.0,1.0
1.2037499999999998e-05,4.4557499999999995e-05,0.436703583859377,1200.0,1.0
1.3364999999999998e-05,4.5885e-05,0.3250834890822415,1200.0,1.0
1.4692499999999999e-05,4.72125e-05,0.21582983937073447,1200.0,1.0
1.602e-05,4.854e-05,0.1303207994318809,1200.0,1.0
2.1377499999999996e-05,5.38975e-05,0.0899345339727054,1200.0,1.0
2.6734999999999997e-05,5.9255e-05,0.21572881855303133,1200.0,1.0
3.20925e-05,6.46125e-05,0.42123662104356235,1200.0,1.0
3.7449999999999995e-05,6.997e-05,0.7428445147253822,1200.0,1.0
7.08925e-05,0.0001034125,1.20645015145455,1200.0,1.0
0.000104335,0.00013685500000000002,1.8308708458333394,1200.0,1.0
0.00013777750000000001,0.0001702975,2.6280827325947063,1200.0,1.0
0.00017122,0.00020374,3.604958416852285,1200.0,1.0
0.00029294250000000004,0.0003254625,4.761246286409109,1200.0,1.0
0.00041466500000000004,0.000447185,6.089570511757598,1200.0,1.0
0.0005363875000000001,0.0005689075,7.594423089907225,1200.0,1.0
0.00065811,0.00069063,9.234515321634504,1200.0,1.0
0.0008281075,0.0008606274999999999,10.962890061181858,1200.0,1.0
0.000998105,0.0010306249999999999,12.726921716257625,1200.0,1.0
0.0011681025,0.0012006224999999999,14.576960417136416,1200.0,1.0
0.0013380999999999998,0.00137062,16.459782582909153,1200.0,1.0
0.0015350024999999999,0.0015675225,18.321712080924314,1200.0,1.0
0.0017319050000000002,0.001764425,20.108620226787956,1200.0,1.0
0.0019288075000000002,0.0019613275000000003,21.847120422407283,1200.0,1.0
0.0021257100000000003,0.00215823,23.500112734240624,1200.0,1.0
0.00237642,0.00240894,25.033692541189495,1200.0,1.0
0.00262713,0.0026596500000000004,26.417150534598594,1200.0,1.0
0.0028778400000000004,0.0029103600000000003,27.676935666096703,1200.0,1.0
0.0031285500000000003,0.00316107,28.806035482596705,1200.0,1.0
0.003423825,0.0034563450000000004,29.80292121883345,1200.0,1.0
0.0037191000000000004,0.00375162,30.671547797363758,1200.0,1.0
0.004014375000000001,0.004046895,31.426471305658275,1200.0,1.0
0.00430965,0.00434217,32.08309612622646,1200.0,1.0
0.0046200475,0.0046525674999999996,32.66255661399257,1200.0,1.0
0.004930445,0.004962965,33.1917170962956,1200.0,1.0
0.0052408425000000005,0.0052733625,33.660260548608115,1200.0,1.0
0.00555124,0.00558376,34.085581780911134,1200.0,1.0
0.005853984999999999,0.005886505,34.489166858772876,1200.0,1.0
0.006156729999999999,0.00618925,34.89659310334863,1200.0,1.0
0.006459474999999999,0.006491995,35.27828840278897,1200.0,1.0
0.006762219999999999,0.00679474,35.642507662614726,1200.0,1.0
0.007089554999999999,0.007122075,35.99924915377287,1200.0,1.0
0.00741689,0.00744941,36.36025451263651,1200.0,1.0
0.007744225,0.007776745,36.71214638381737,1200.0,1.0
0.00807156,0.00810408,37.05723461891587,1200.0,1.0
0.0083696625,0.008402182499999999,37.398541975394096,1200.0,1.0
0.008667765000000001,0.008700284999999999,37.739804116575925,1200.0,1.0
0.0089658675,0.0089983875,38.076831907043726,1200.0,1.0
0.00926397,0.00929649,38.40968842651341,1200.0,1.0
0.00957323,0.00960575,38.73884216021228,1200.0,1.0
0.00988249,0.009915009999999998,39.06516699887893,1200.0,1.0
0.01019175,0.010224269999999999,39.387243413111875,1200.0,1.0
0.01050101,0.01053353,39.70546158936945,1200.0,1.0
0.010809260000000001,0.010841779999999999,40.0205135050759,1200.0,1.0
0.01111751,0.01115003,40.33339292862135,1200.0,1.0
0.01142576,0.011458280000000001,40.645607582175316,1200.0,1.0
0.011734010000000001,0.01176653,40.954872444061685,1200.0,1.0
0.0120413475,0.0120738675,41.25931303856074,1200.0,1.0
0.012348685000000002,0.012381205,41.557465435909236,1200.0,1.0
0.012656022500000001,0.0126885425,41.848942516108124,1200.0,1.0
0.01296336,0.01299588,42.13312605254753,1200.0,1.0
0.0132588375,0.0132913575,42.40984139276533,1200.0,1.0
0.013554315,0.013586834999999998,42.67935745844714,1200.0,1.0
0.0138497925,0.013882312499999999,42.94143440143957,1200.0,1.0
0.01414527,0.01417779,43.19573931000016,1200.0,1.0
0.014458764999999998,0.014491285,43.442372348901685,1200.0,1.0
0.014772259999999999,0.01480478,43.68186675943197,1200.0,1.0
0.015085755,0.015118275,43.912762413002056,1200.0,1.0
0.01539925,0.01543177,44.13566545989599,1200.0,1.0
0.0157185575,0.0157510775,44.35151261053045,1200.0,1.0
0.016037865,0.016070385,44.5615711354547,1200.0,1.0
0.0163571725,0.0163896925,44.76967502460528,1200.0,1.0
0.01667648,0.016709,44.97623700943105,1200.0,1.0
0.01698259,0.01701511,45.182151593075965,1200.0,1.0
0.017288699999999997,0.01732122,45.388795050378995,1200.0,1.0
0.017594809999999995,0.017627329999999997,45.591866362398896,1200.0,1.0
0.017900919999999997,0.01793344,45.790755921664044,1200.0,1.0
0.018218297499999998,0.0182508175,45.98509930893204,1200.0,1.0
0.018535674999999998,0.018568195,46.17477729318959,1200.0,1.0
0.0188530525,0.0188855725,46.35959487718674,1200.0,1.0
0.01917043,0.01920295,46.53967368693674,1200.0,1.0
0.019482769999999996,0.019515289999999998,46.71537062785625,1200.0,1.0
0.019795109999999998,0.01982763,46.88727788476535,1200.0,1.0
0.02010745,0.02013997,47.053886697172544,1200.0,1.0
0.02041979,0.02045231,47.21585657789985,1200.0,1.0
0.020743445,0.020775965,47.37397451062146,1200.0,1.0
0.0210671,0.02109962,47.529154949863866,1200.0,1.0
0.021390754999999997,0.021423275,47.685075165547566,1200.0,1.0
0.02171441,0.02174693,47.841787150986946,1200.0,1.0
0.022030284999999997,0.022062804999999998,47.99963168580324,1200.0,1.0
0.022346159999999997,0.022378679999999998,48.15923833592446,1200.0,1.0
0.022662034999999997,0.022694554999999998,48.31669825776348,1200.0,1.0
0.022977909999999997,0.02301043,48.471944134218006,1200.0,1.0
0.0232955475,0.0233280675,48.62498581994717,1200.0,1.0
0.023613185,0.023645705,48.77591034137138,1200.0,1.0
0.023930822499999997,0.0239633425,48.92402100271415,1200.0,1.0
0.02424846,0.02428098,49.06961651350201,1200.0,1.0
0.0245637525,0.024596272500000002,49.21302782756071,1200.0,1.0
0.024879045,0.024911565,49.35461814301525,1200.0,1.0
0.025194337499999997,0.025226857499999998,49.49643866062985,1200.0,1.0
0.02550963,0.02554215,49.63776123918286,1200.0,1.0
0.025828069999999998,0.02586059,49.77800279348493,1200.0,1.0
0.026146509999999998,0.02617903,49.9167252943789,1200.0,1.0
0.026464949999999998,0.02649747,50.05329472080885,1200.0,1.0
0.026783389999999997,0.02681591,50.1887766304452,1200.0,1.0
0.027092609999999996,0.027125129999999997,50.32433376904556,1200.0,1.0
0.02740183,0.02743435,50.46122607045466,1200.0,1.0
0.02771105,0.027743570000000002,50.59842552109766,1200.0,1.0
0.02802027,0.02805279,50.735047028105285,1200.0,1.0
0.028343637499999998,0.0283761575,50.87024130113657,1200.0,1.0
0.028667005,0.028699525,51.003194852379,1200.0,1.0
0.0289903725,0.0290228925,51.134017339127105,1200.0,1.0
0.029313739999999998,0.02934626,51.26280801215741,1200.0,1.0
0.02963755,0.02967007,51.389725499310806,1200.0,1.0
0.02996136,0.02999388,51.51498780549265,1200.0,1.0
0.03028517,0.03031769,51.640586202659335,1200.0,1.0
0.030608979999999997,0.0306415,51.76656303906842,1200.0,1.0
0.030934554999999996,0.030967074999999997,51.89311403475782,1200.0,1.0
0.03126013,0.03129265,52.02058828154571,1200.0,1.0
0.031585705,0.031618225,52.14704861623983,1200.0,1.0
0.03191128,0.0319438,52.27148426326255,1200.0,1.0
0.03222072,0.03225324,52.392956691477515,1200.0,1.0
0.03253016,0.03256268,52.51059961418964,1200.0,1.0
0.0328396,0.03287212,52.62523011237523,1200.0,1.0
0.03314904,0.03318156,52.737430462057056,1200.0,1.0
0.033479615,0.033512135,52.84790362240177,1200.0,1.0
0.03381019,0.03384271,52.95747323571997,1200.0,1.0
0.034140765,0.034173285,53.06427073368872,1200.0,1.0
0.034471339999999996,0.03450386,53.16886214722658,1200.0,1.0
0.0347870975,0.0348196175,53.27180472550021,1200.0,1.0
0.035102855,0.035135374999999996,53.373646935924484,1200.0,1.0
0.0354186125,0.035451132499999996,53.47590847443209,1200.0,1.0
0.03573437,0.03576689,53.57929670359876,1200.0,1.0
0.036054710000000004,0.03608723,53.68455524368969,1200.0,1.0
0.03637505,0.03640757,53.792463972659434,1200.0,1.0
0.036695389999999994,0.03672791,53.90234436640568,1200.0,1.0
0.03701573,0.03704825,54.01420898526931,1200.0,1.0
0.037335074999999995,0.037367595,54.12805236731855,1200.0,1.0
0.037654419999999994,0.03768694,54.243851028348864,1200.0,1.0
0.03797376499999999,0.038006285,54.360938144027806,1200.0,1.0
0.03829311,0.03832563,54.47862010052023,1200.0,1.0
0.0386184375,0.0386509575,54.59616969225794,1200.0,1.0
0.038943765,0.038976285,54.712826121939784,1200.0,1.0
0.0392690925,0.0393016125,54.82877543772957,1200.0,1.0
0.03959442,0.03962694,54.94361101688105,1200.0,1.0
0.03990763,0.03994015,55.05693152159126,1200.0,1.0
0.040220839999999994,0.04025336,55.16834089900027,1200.0,1.0
0.040534049999999995,0.040566569999999996,55.27926572168202,1200.0,1.0
0.040847259999999996,0.04087978,55.38944871789417,1200.0,1.0
0.041169217499999994,0.0412017375,55.49872644805329,1200.0,1.0
0.041491175,0.041523695,55.60702930473509,1200.0,1.0
0.0418131325,0.0418456525,55.71400475957408,1200.0,1.0
0.04213509,0.04216761,55.81957969751348,1200.0,1.0
0.042453305,0.042485825000000005,55.9237606352957,1200.0,1.0
0.04277152,0.04280404,56.02663372146234,1200.0,1.0
0.043089735000000004,0.043122255,56.12840784261855,1200.0,1.0
0.04340795,0.04344047,56.2289889028079,1200.0,1.0
0.0437307575,0.0437632775,56.32837318839403,1200.0,1.0
0.044053565,0.044086085,56.42664736806073,1200.0,1.0
0.0443763725,0.0444088925,56.523752936956576,1200.0,1.0
0.04469918,0.0447317,56.61949694582021,1200.0,1.0
0.044994392499999994,0.0450269125,56.71377655677285,1200.0,1.0
0.045289605,0.045322125000000005,56.80657904331826,1200.0,1.0
0.0455848175,0.04561733750000001,56.89705663761462,1200.0,1.0
0.04588003,0.04591255,56.985912909349494,1200.0,1.0
0.0462148425,0.0462473625,57.07388127750009,1200.0,1.0
0.046549654999999995,0.046582175,57.1617250103335,1200.0,1.0
0.0468844675,0.0469169875,57.250676197862916,1200.0,1.0
0.047219279999999995,0.0472518,57.340205012597806,1200.0,1.0
0.04753207749999999,0.0475645975,57.42986780813666,1200.0,1.0
0.047844874999999995,0.047877395,57.519307119166996,1200.0,1.0
0.0481576725,0.048190192500000006,57.60661438675318,1200.0,1.0
0.04847047,0.04850299,57.69252235783648,1200.0,1.0
0.04877945,0.048811969999999996,57.777744091772995,1200.0,1.0
0.04908843,0.04912095,57.86297296033364,1200.0,1.0
0.04939741,0.04942993,57.94991662431377,1200.0,1.0
